Role1,State,Year,Type,Perc
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,33.22368421
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,16.6735282
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,24.99691244
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,11.10928152
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,3.33470564
Decision influencer,Wisconsin,2017,Xtend,17.14890614
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,4.00148203
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,30.03952569
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,19.27710843
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,100
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,100
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,3.326197925
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,40
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,1.663098963
Decision influencer,Wisconsin,2017,Xtend,8.698453608
Farmer,Wisconsin,2017,Xtend,32.65306122
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,80.00988386
Farmer,Nebraska,2017,Xtend,100
Decision influencer,Nebraska,2017,Xtend,100
Decision influencer,Nebraska,2017,Xtend,83.32921506
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,33.33388245
Farmer,Nebraska,2017,Xtend,3.079262498
Farmer,Nebraska,2017,Xtend,6.004447739
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,19.99011614
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,25.01544163
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,1.520912548
Decision influencer,Nebraska,2017,Xtend,10.00012355
Farmer,Nebraska,2017,Xtend,27.11864407
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,83.33388245
Farmer,Nebraska,2017,Xtend,10.00617665
Decision influencer,Nebraska,2017,Xtend,5.000061775
Farmer,Nebraska,2017,Xtend,25.00030887
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,13.33355298
Farmer,Nebraska,2017,Xtend,20.0123533
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
,Nebraska,2017,Xtend,55.36121673
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,16.01581809
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,39.97803405
Farmer,Nebraska,2017,Xtend,100
Decision influencer,Nebraska,2017,Xtend,5.000061775
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,50
Farmer,Nebraska,2017,Xtend,21.04031209
Farmer,Nebraska,2017,Xtend,20.01977261
Decision influencer,Nebraska,2017,Xtend,10.00012355
Decision influencer,Nebraska,2017,Xtend,49.38271605
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,20.02472188
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,32.03163618
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,40
Farmer,Nebraska,2017,Xtend,75
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,4.000039536
Decision influencer,Nebraska,2017,Xtend,4.998888038
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,13.33355298
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,2.777129522
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,15.62162162
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,85.70420049
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,49.98764517
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,8.007909046
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,33.33333333
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,20
Decision influencer,Nebraska,2017,Xtend,20
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,34.15730337
Farmer,Nebraska,2017,Xtend,50
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,20.01977261
,Nebraska,2017,Xtend,0
,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,83.34019769
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,6.667627618
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,8.005930319
Decision influencer,Nebraska,2017,Xtend,40
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,58.17610063
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,8.331274195
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,22.22374743
Farmer,Nebraska,2017,Xtend,100
,Nebraska,2017,Xtend,100
,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,16.68039539
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,63.63432165
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,25.01544163
Farmer,Nebraska,2017,Xtend,26.68863262
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,7.142958
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,64.99956758
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,32.03163618
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,24.99382258
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,20
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,9.997529034
Farmer,Nebraska,2017,Xtend,15.62934363
Decision influencer,Nebraska,2017,Xtend,29.99752903
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,23.99308129
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,16.68039539
Farmer,Nebraska,2017,Xtend,17.51080914
Decision influencer,Nebraska,2017,Xtend,9.997529034
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,20.00049421
Farmer,Nebraska,2017,Xtend,36.65568369
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,70.00247097
Farmer,Nebraska,2017,Xtend,24.99382258
Farmer,Nebraska,2017,Xtend,49.35936547
Farmer,Nebraska,2017,Xtend,19.00172968
Farmer,Nebraska,2017,Xtend,2.28748941
Decision influencer,Nebraska,2017,Xtend,24.99382258
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,20.00019768
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,59.98023715
Decision influencer,Nebraska,2017,Xtend,50.00123551
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,63.63432165
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,5.001235483
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,13.88907955
Decision influencer,Nebraska,2017,Xtend,10.0002471
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,0.833137713
Decision influencer,Nebraska,2017,Xtend,80.00197682
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,37.5
Farmer,Nebraska,2017,Xtend,100
Decision influencer,Nebraska,2017,Xtend,0.800110701
Decision influencer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,100
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,4.998888038
Decision influencer,Nebraska,2017,Xtend,5.000617742
Farmer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,10.0002471
Farmer,Nebraska,2017,Xtend,0
Farmer,Nebraska,2017,Xtend,13.34431631
Decision influencer,Nebraska,2017,Xtend,0
Decision influencer,Nebraska,2017,Xtend,10.0002471
Decision influencer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,19.8019802
Farmer,Wisconsin,2018,Xtend,44
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,46.34146341
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,100
,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,2.511321531
Farmer,Wisconsin,2018,Xtend,54.72972973
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,10.39182283
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,17.97752809
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,16.90140845
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,24.01185771
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,1.581027668
Farmer,Wisconsin,2018,Xtend,22.53521127
Decision influencer,Wisconsin,2018,Xtend,14.41441441
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,12.34567901
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,6.808510638
Farmer,Wisconsin,2018,Xtend,29.62962963
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,29.7029703
Decision influencer,Wisconsin,2018,Xtend,41.6632359
Decision influencer,Wisconsin,2018,Xtend,22.22222222
Decision influencer,Wisconsin,2018,Xtend,10.00370508
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,30.1980198
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,41.39693356
Decision influencer,Wisconsin,2018,Xtend,30.00740924
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,15.84158416
Farmer,Wisconsin,2018,Xtend,46.00760456
Farmer,Wisconsin,2018,Xtend,2.272727273
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,53.73134328
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,21.38157895
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,3.003655765
Farmer,Wisconsin,2018,Xtend,21.33333333
Farmer,Wisconsin,2018,Xtend,44.44444444
Farmer,Wisconsin,2018,Xtend,50
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,13.33333333
Farmer,Wisconsin,2018,Xtend,35.70924488
Farmer,Wisconsin,2018,Xtend,25.52083333
Farmer,Wisconsin,2018,Xtend,88.59315589
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,41.49590164
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,20.00823384
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,6.002223046
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,50.00617513
Decision influencer,Wisconsin,2018,Xtend,24.9897077
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,64.60176991
Decision influencer,Wisconsin,2018,Xtend,16.0005928
Decision influencer,Wisconsin,2018,Xtend,3.985507246
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,9.980237154
Decision influencer,Wisconsin,2018,Xtend,49.98456314
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,21.73539519
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,57.16302047
Decision influencer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,89.53488372
Decision influencer,Wisconsin,2018,Xtend,47.99920956
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,0
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,70.34883721
Farmer,Wisconsin,2018,Xtend,50
Farmer,Wisconsin,2018,Xtend,11.1627907
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,100
Farmer,Wisconsin,2018,Xtend,100
Decision influencer,Wisconsin,2018,Xtend,33.3470564
Decision influencer,Wisconsin,2018,Xtend,13.8877453
Decision influencer,Wisconsin,2018,Xtend,0.49413218
Farmer,Wisconsin,2018,Xtend,69.87654321
Decision influencer,Wisconsin,2018,Xtend,21.41848977
Decision influencer,Wisconsin,2018,Xtend,0
Decision influencer,Wisconsin,2018,Xtend,20.00658653
Decision influencer,Wisconsin,2018,Xtend,25.0102923
Farmer,Wisconsin,2018,Xtend,32.65306122
Decision influencer,Nebraska,2018,Xtend,14.99876452
Farmer,Nebraska,2018,Xtend,83.3218943
Decision influencer,Nebraska,2018,Xtend,80.00988386
Farmer,Nebraska,2018,Xtend,100
Decision influencer,Nebraska,2018,Xtend,88.88873636
Decision influencer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,0
Decision influencer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,38.88812629
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,89.98203055
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,0
Decision influencer,Nebraska,2018,Xtend,74.98455837
Farmer,Nebraska,2018,Xtend,69.99505685
Farmer,Nebraska,2018,Xtend,0
Decision influencer,Nebraska,2018,Xtend,100
Decision influencer,Nebraska,2018,Xtend,10.00012355
Farmer,Nebraska,2018,Xtend,28.60169492
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,25.00123548
Farmer,Nebraska,2018,Xtend,31.25386041
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Decision influencer,Nebraska,2018,Xtend,89.99987645
Farmer,Nebraska,2018,Xtend,100
Decision influencer,Nebraska,2018,Xtend,25.00030887
Farmer,Nebraska,2018,Xtend,74.99969113
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,25.01544163
Decision influencer,Nebraska,2018,Xtend,76.47024623
Farmer,Nebraska,2018,Xtend,30.01852996
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,83.31960461
,Nebraska,2018,Xtend,32.01581028
Farmer,Nebraska,2018,Xtend,25
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,0
Farmer,Nebraska,2018,Xtend,62.21856123
Farmer,Nebraska,2018,Xtend,100
Decision influencer,Nebraska,2018,Xtend,50.00123551
Decision influencer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,100
Farmer,Nebraska,2018,Xtend,74.98455837
