Part,State,Role,Question,Answer,n,Perc
before,Nebraska,Farmer,UsePRE,Not sure,4,2
before,Nebraska,Farmer,UsePRE,Yes,220,91
before,Wisconsin,Decision influencer,UsePRE,No,7,15
before,Wisconsin,Decision influencer,UsePRE,Not sure,5,10
before,Wisconsin,Decision influencer,UsePRE,Yes,36,75
before,Wisconsin,Farmer,UsePRE,No,27,27
before,Wisconsin,Farmer,UsePRE,Not sure,2,2
before,Wisconsin,Farmer,UsePRE,Yes,70,71
before,Nebraska,Decision influencer,OwnSpr,No,32,48
before,Nebraska,Decision influencer,OwnSpr,Yes,35,52
before,Nebraska,Farmer,OwnSpr,No,53,22
before,Nebraska,Farmer,OwnSpr,Yes,189,78
before,Wisconsin,Decision influencer,OwnSpr,No,18,38
before,Wisconsin,Decision influencer,OwnSpr,Yes,29,62
before,Wisconsin,Farmer,OwnSpr,No,22,22
before,Wisconsin,Farmer,OwnSpr,Yes,76,78
